cons_acct_key,acct_dt,rpt_as_of_mo,current_balance,current_dpd,payment_am,status_cd,account_status,created_ts,updated_ts,base_ts
1,2023-09-12,2023-09,2380,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2023-09-10,2023-09,4106,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2023-09-25,2023-09,3846,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2023-09-16,2023-09,3811,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2023-09-07,2023-09,4693,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2023-09-28,2023-09,2634,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-19,2023-09,1716,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-27,2023-09,4661,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-19,2023-09,4696,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-20,2023-09,4492,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-11,2023-09,2680,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
5,2023-09-10,2023-09,4442,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-20,2023-09,2983,68,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-08,2023-09,3100,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-25,2023-09,1061,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-08,2023-09,4141,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-12,2023-09,3124,30,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
7,2023-09-10,2023-09,3414,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2024-05-08,2024-05,2957,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
1,2024-05-06,2024-05,4211,0,50,0,CURRENT,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z,2025-07-05T09:00:00.000Z
